Time ,Ext Temp,Humidity,Core Temp,Heart Rate,Breathing Rate,PSI
0:00:00,25.8,75,37,111,26,5.6
0:00:05,25.5,73,36.6,113,28,5.6
0:00:10,25.8,78,37,113,27,5.3
0:00:15,25.2,77,36.7,112,27,5.4
0:00:20,25.3,80,36.6,114,25,4.8
0:00:25,25.5,71,37,117,27,5.5
0:00:30,25.5,70,36.9,119,30,5.5
0:00:35,25.5,76,36.6,120,29,5.2
0:00:40,25,76,36.6,119,29,4.6
0:00:45,25,71,36.8,112,28,5.1
0:00:50,25.8,72,37,112,27,5.4
0:00:55,25.9,78,36.6,119,29,5.3
0:01:00,25.9,78,37,117,29,5.5
0:01:05,25.9,74,36.5,110,29,5
0:01:10,25.3,70,36.5,117,27,5.3
0:01:15,25.5,77,37,115,30,4.8
0:01:20,25.4,72,36.9,110,29,5.3
0:01:25,26,74,36.5,113,27,5.3
0:01:30,25.9,77,36.8,118,25,5.5
0:01:35,25,79,37,114,29,4.8
0:01:40,25.6,72,36.5,112,29,4.9
0:01:45,25.9,78,36.6,117,29,4.7
0:01:50,25.4,72,36.9,112,30,4.9
0:01:55,26,80,37,116,30,4.6
0:02:00,25.4,71,36.8,115,25,4.6
0:02:05,25.7,77,37,118,30,5.6
0:02:10,25,73,36.5,117,30,5.2
0:02:15,25.7,75,37,114,27,5.3
0:02:20,25.8,73,36.7,118,29,4.8
0:02:25,25.6,75,36.5,113,26,4.6
0:02:30,25.3,71,36.9,110,30,4.9
0:02:35,25.6,72,37,113,28,4.7
0:02:40,25.1,72,36.9,117,25,5.3
0:02:45,25.9,75,36.9,120,30,5.3
0:02:50,26,80,36.6,112,26,4.8
0:02:55,25.7,80,36.7,113,25,5.3
0:03:00,25,80,36.6,119,27,5.2
0:03:05,25.1,71,36.9,117,25,4.6
0:03:10,25.5,72,36.5,115,25,5.2
0:03:15,25.1,80,36.9,120,27,4.7
0:03:20,26,72,36.8,116,26,4.7
0:03:25,25.7,80,36.7,118,28,4.8
0:03:30,25.7,74,36.8,118,27,4.7
0:03:35,25.8,73,36.6,115,25,4.9
0:03:40,25.1,73,36.6,116,28,5.1
0:03:45,25.8,79,36.5,119,29,4.7
0:03:50,26,71,36.9,118,27,4.8
0:03:55,25.8,75,36.9,114,27,4.7
0:04:00,25.1,74,36.6,113,26,4.9
0:04:05,25.8,78,36.7,117,26,5.3
0:04:10,25.7,71,37,115,30,5.5
0:04:15,25.8,73,37,117,29,4.9
0:04:20,25.7,75,37,119,28,5.4
0:04:25,25.1,78,36.5,112,27,5.1
0:04:30,25.3,71,36.8,116,30,4.7
0:04:35,25.5,77,36.9,113,30,4.7
0:04:40,25.6,74,36.6,119,28,5.3
0:04:45,26,76,37,119,27,4.8
0:04:50,25.1,73,36.8,117,28,5.1
0:04:55,26,79,37,113,26,5.4
0:05:00,25,78,37,110,27,5.5
0:05:05,25.7,72,37,113,28,5.5
0:05:10,25.6,74,36.9,118,27,4.9
0:05:15,25.7,77,36.6,115,28,5.6
0:05:20,25,72,36.9,114,25,5.1
0:05:25,25.5,73,36.8,120,27,5.5
0:05:30,25.6,73,36.5,113,26,4.6
0:05:35,25.8,74,37,113,26,5.1
0:05:40,25.9,73,36.7,116,30,4.7
0:05:45,25.4,75,36.6,119,26,5.1
0:05:50,25.2,79,36.7,115,25,4.7
0:05:55,25.6,76,37,113,28,5.6
0:06:00,25.3,80,36.5,111,25,5.4
0:06:05,25.6,72,36.9,116,28,4.6
0:06:10,25.4,75,36.9,120,30,4.8
0:06:15,26,74,36.7,114,28,5.5
0:06:20,25.3,80,36.6,110,29,5.3
0:06:25,25.4,79,36.6,117,27,5.2
0:06:30,25,76,36.9,120,27,5.4
0:06:35,25.5,73,36.5,116,30,5.3
0:06:40,26,74,36.9,113,27,5.4
0:06:45,25.5,79,36.8,115,30,5.5
0:06:50,25.3,76,36.5,116,26,4.6
0:06:55,25,74,36.8,116,30,5.2
0:07:00,25.7,79,36.9,120,28,5.3
0:07:05,25.4,72,36.5,113,26,4.8
0:07:10,25.2,76,37,111,27,5.5
0:07:15,25.2,76,36.8,111,29,5.2
0:07:20,25.8,70,36.6,115,25,5.3
0:07:25,25.4,77,36.5,119,29,4.7
0:07:30,25.9,70,36.9,111,26,4.9
0:07:35,25.7,76,37,118,26,4.7
0:07:40,25,78,36.9,118,29,4.9
0:07:45,25.7,77,36.9,119,29,5.1
0:07:50,26,76,36.7,120,27,4.8
0:07:55,25.6,77,36.7,111,29,5
0:08:00,25.9,70,36.9,113,27,5.5
0:08:05,25.2,79,36.8,119,30,4.7
0:08:10,25.8,71,36.8,116,27,4.9
0:08:15,25.7,75,36.9,111,30,5.5
0:08:20,25.5,79,36.6,110,28,5.2
0:08:25,25.1,74,36.8,112,28,4.7
0:08:30,25.8,80,36.8,118,27,5.3
0:08:35,25.8,71,36.6,120,29,5.5
0:08:40,25,71,36.6,110,25,4.6
0:08:45,25.1,72,36.6,118,28,5.2
0:08:50,25.2,70,36.7,119,28,5.6
0:08:55,25.8,74,36.8,114,26,5.2
0:09:00,25.4,79,37,118,28,4.6
0:09:05,25.5,70,36.6,112,26,4.6
0:09:10,25.2,78,36.6,115,28,4.9
0:09:15,25.1,71,36.9,113,29,5.3
0:09:20,25.4,77,36.6,115,28,4.6
0:09:25,25.5,75,36.7,113,30,5.1
0:09:30,25.6,71,36.9,110,27,5.6
0:09:35,25.7,80,36.5,114,29,4.9
0:09:40,25.5,75,36.8,110,25,5.3
0:09:45,25.6,75,36.7,117,27,4.6
0:09:50,26,78,36.9,116,28,5.4
0:09:55,25.6,72,36.6,113,26,5.1
0:10:00,25.7,77,36.9,118,30,5.4
0:10:05,25.1,74,36.7,113,29,5.5
0:10:10,25.8,73,36.8,114,27,4.9
0:10:15,25.3,71,36.5,120,27,4.8
0:10:20,25.1,71,36.8,120,25,5.4
0:10:25,25.5,80,36.8,118,27,4.7
0:10:30,25.9,73,36.6,113,25,5.5
0:10:35,25.3,73,36.8,114,27,5.2
0:10:40,25.8,72,36.5,110,25,4.7
0:10:45,26,72,36.7,115,29,4.7
0:10:50,25.8,72,36.6,113,27,5
0:10:55,26,71,37,119,29,5
0:11:00,25.5,80,36.8,111,26,4.8
0:11:05,25.6,75,36.9,110,25,4.6
0:11:10,25.3,75,36.7,111,25,5.5
0:11:15,25.4,71,37,116,29,5.2
0:11:20,25.9,78,36.7,110,27,5
0:11:25,25.5,79,36.9,114,26,5.5
0:11:30,25.4,79,36.6,113,29,4.6
0:11:35,25.1,78,36.6,111,26,4.6
0:11:40,25.2,80,36.8,111,28,4.9
0:11:45,25.8,80,36.6,117,27,5.1
0:11:50,25.6,73,36.8,115,28,5.5
0:11:55,25.9,75,36.5,112,25,5.1
0:12:00,25.7,72,36.6,118,28,5.6
0:12:05,25,79,36.7,115,25,4.6
0:12:10,25.7,79,36.8,113,27,5.4
0:12:15,25.1,78,37,119,27,5.1
0:12:20,25.6,76,36.7,110,29,5.1
0:12:25,25.2,77,37,116,27,4.9
0:12:30,25.6,76,36.7,112,25,5.1
0:12:35,25.2,71,36.9,119,30,5.2
0:12:40,25.5,79,36.7,119,29,5.1
0:12:45,25.6,72,36.7,112,27,5.1
0:12:50,25.6,76,36.9,119,30,5.3
0:12:55,25.1,80,36.6,113,26,5.1
0:13:00,26,70,36.5,114,30,5.2
0:13:05,25.2,80,36.8,111,28,5.1
0:13:10,25.4,79,36.6,118,29,4.6
0:13:15,25.3,70,36.8,114,30,4.9
0:13:20,25.2,70,36.6,111,28,4.8
0:13:25,25.4,75,37,112,30,4.6
0:13:30,25.6,77,36.7,119,26,5.5
0:13:35,25,77,36.8,113,29,5.2
0:13:40,25.3,73,36.7,116,27,5.6
0:13:45,25.3,73,36.9,120,28,4.9
0:13:50,25.3,75,36.9,120,28,5.4
0:13:55,25,71,36.7,116,25,4.6
0:14:00,25.8,74,36.9,116,26,4.6
0:14:05,25.2,76,36.9,112,28,4.6
0:14:10,25.8,80,36.7,111,26,4.9
0:14:15,25.7,74,36.6,119,26,4.6
0:14:20,25.2,71,36.6,111,25,4.7
0:14:25,25.1,71,36.9,120,25,5.2
0:14:30,25.9,73,36.5,117,27,5.2
0:14:35,25.6,74,37,110,29,5.4
0:14:40,25.2,76,36.5,113,29,5.6
0:14:45,25.4,76,36.9,115,26,5.3
0:14:50,25.2,74,36.6,120,25,5
0:14:55,25.2,74,36.6,112,28,5.4
0:15:00,25.1,73,37,111,30,5
0:15:05,25.9,74,37.3,126,30,6.3
0:15:10,25.1,77,37.2,126,31,6.1
0:15:15,25.5,76,37,122,33,7
0:15:20,25.7,71,37.4,120,32,6.9
0:15:25,25.7,72,37,130,30,6.4
0:15:30,26,70,37.4,120,32,5.9
0:15:35,25.9,80,37.4,126,30,6.3
0:15:40,25.4,74,37.1,122,30,5.8
0:15:45,25.5,75,37.1,120,30,6.4
0:15:50,25.7,76,37,124,33,6.1
0:15:55,25.3,75,37,124,34,5.6
0:16:00,26,80,37.1,126,34,6.9
0:16:05,25,80,37.1,126,35,6.9
0:16:10,25.9,71,37.5,126,35,5.7
0:16:15,25.2,77,37,130,34,6.2
0:16:20,25.7,72,37.3,127,33,6
0:16:25,25.8,73,37.3,126,35,6.4
0:16:30,25.6,71,37.1,129,31,6.1
0:16:35,25.1,74,37.5,120,30,5.7
0:16:40,26,80,37,130,30,6
0:16:45,25.8,75,37.5,121,31,5.6
0:16:50,25.2,80,37.3,123,30,6
0:16:55,25.4,80,37.2,120,32,5.9
0:17:00,25.6,80,37.5,126,32,6
0:17:05,25.2,79,37.2,126,30,5.6
0:17:10,25.2,75,37.5,123,32,5.9
0:17:15,25.6,72,37.3,122,35,5.8
0:17:20,25.3,79,37.2,121,33,6.4
0:17:25,25.7,75,37.1,127,30,6.2
0:17:30,25.5,75,37.2,124,32,6.3
0:17:35,25.2,74,37.5,125,31,6.8
0:17:40,25,75,37,128,31,6.3
0:17:45,25.6,74,37.5,121,35,6.4
0:17:50,25,77,37.2,124,33,6.5
0:17:55,25.1,75,37,126,32,6.5
0:18:00,25.9,70,37.3,121,31,5.6
0:18:05,26,74,37.2,122,34,5.7
0:18:10,25.9,76,37.3,125,30,6.7
0:18:15,25.3,80,37.3,127,34,6.2
0:18:20,25.1,77,37.4,121,34,6.7
0:18:25,25.3,71,37.2,125,34,5.9
0:18:30,25.3,72,37.1,123,31,6.5
0:18:35,25.8,70,37.4,126,31,5.9
0:18:40,25.8,77,37.2,130,30,5.8
0:18:45,25.5,79,37.5,129,33,5.6
0:18:50,25.3,71,37,129,31,6.9
0:18:55,25.8,77,37.3,120,30,6.1
0:19:00,25.3,74,37.5,122,30,6.5
0:19:05,25.1,74,37.4,122,35,5.8
0:19:10,26,79,37.4,122,32,5.6
0:19:15,26,79,37.4,123,35,6.7
0:19:20,25.7,73,37.3,124,34,6.4
0:19:25,25.1,80,37.4,129,31,6.6
0:19:30,25.3,72,37.5,126,34,6.9
0:19:35,25.4,71,37.2,120,30,5.7
0:19:40,25.6,80,37.4,128,31,5.6
0:19:45,25.6,71,37.2,129,33,5.9
0:19:50,25.2,76,37,123,30,5.6
0:19:55,25.2,76,37,120,35,6
0:20:00,25.8,70,37.4,127,35,7
0:20:05,25.3,76,37.5,120,35,6.7
0:20:10,25.1,79,37,129,35,5.7
0:20:15,25.7,70,37.2,120,35,6.8
0:20:20,25.6,79,37,122,33,6.5
0:20:25,25.9,74,37.1,120,32,7
0:20:30,25.4,73,37,127,35,7
0:20:35,26,75,37.2,123,34,6.9
0:20:40,25.6,79,37.4,121,32,6.4
0:20:45,26,79,37.4,127,31,6.8
0:20:50,25.6,74,37.1,126,34,5.9
0:20:55,25.1,70,37.4,125,35,6.8
0:21:00,25.4,79,37.3,125,33,6.6
0:21:05,25.6,76,37.3,125,35,6.7
0:21:10,25.1,76,37.1,128,31,7
0:21:15,25.3,70,37.2,128,32,6.6
0:21:20,25.6,78,37.5,125,34,6.1
0:21:25,25.5,75,37.5,124,35,6.8
0:21:30,25.9,80,37.2,123,33,5.7
0:21:35,25.3,78,37.4,121,31,6.5
0:21:40,25.6,80,37.4,122,34,7
0:21:45,25.3,73,37.1,125,30,6.6
0:21:50,25.6,75,37.2,130,30,7
0:21:55,25.9,79,37.3,130,30,5.8
0:22:00,25.3,70,37.2,127,32,6.6
0:22:05,25.7,73,37.1,124,32,7
0:22:10,25.3,80,37.3,127,35,6.1
0:22:15,25.6,78,37,127,35,6.5
0:22:20,25.3,76,37.5,130,35,6.3
0:22:25,25.5,71,37.5,128,31,6.9
0:22:30,25.9,73,37.5,124,30,6.5
0:22:35,25.3,72,37.1,127,30,6.2
0:22:40,25.7,73,37.3,126,35,6.2
0:22:45,25.1,75,37.5,126,35,5.6
0:22:50,25.4,73,37.4,127,33,6.9
0:22:55,25.3,76,37.4,129,33,6.7
0:23:00,25.3,76,37.3,128,35,6
0:23:05,25.8,71,37,130,31,6
0:23:10,25.9,75,37.2,124,30,6.4
0:23:15,25.1,76,37,122,32,5.9
0:23:20,25.5,70,37.4,121,35,6.9
0:23:25,25.8,77,37.5,124,32,6
0:23:30,25.8,78,37.1,128,30,6.4
0:23:35,25.8,73,37,122,33,6.1
0:23:40,25.1,78,37.4,129,35,6.4
0:23:45,25.1,74,37.5,121,35,6.7
0:23:50,26,76,37.4,124,32,6.7
0:23:55,25.8,71,37.4,125,31,5.7
0:24:00,25.5,77,37.3,127,30,6
0:24:05,25.6,72,37.5,123,33,6.6
0:24:10,25.1,79,37.3,122,35,6.3
0:24:15,25.2,78,37.4,130,32,6.1
0:24:20,26,74,37.3,123,30,6.5
0:24:25,25,72,37.3,120,33,6.8
0:24:30,26,71,37,130,34,6.2
0:24:35,25.7,72,37.1,125,35,6.8
0:24:40,25.4,80,37.5,130,32,5.8
0:24:45,26,70,37,124,34,6.3
0:24:50,26,78,37,130,32,6.8
0:24:55,25.3,71,37.2,124,35,5.6
0:25:00,25.7,71,37.1,120,31,6.4
0:25:05,25,78,37.1,125,30,7
0:25:10,25.8,75,37.3,128,32,6.2
0:25:15,25.1,80,37.5,130,34,6.8
0:25:20,25.1,77,37.3,124,31,5.8
0:25:25,26,77,37.3,124,30,6.7
0:25:30,25.1,78,37.1,125,32,6.5
0:25:35,25.6,77,37.5,124,34,6.8
0:25:40,25.4,75,37.5,127,33,6.1
0:25:45,25.4,73,37.1,128,34,6.7
0:25:50,25.9,77,37.5,122,32,6
0:25:55,25.6,74,37.4,127,34,6.4
0:26:00,25.2,76,37.5,122,30,6.9
0:26:05,25.7,77,37.3,120,34,6.8
0:26:10,25.3,77,37.3,125,34,6.9
0:26:15,25.6,73,37.4,126,32,6.1
0:26:20,25.9,74,37.1,121,33,7
0:26:25,26,77,37.5,130,32,5.8
0:26:30,25.2,71,37.2,129,35,6.6
0:26:35,25.9,71,37.5,120,32,5.6
